Province,lat,lng
Aceh,5.55,95.3175
Sumatera Utara,3.6667,98.6667
Sumatera Barat,-0.9556,100.3606
Riau,0.5333,101.45
Jambi,-1.59,103.61
Sumatera Selatan,-2.9833,104.7644
Bengkulu,-3.7956,102.2592
Lampung,-5.4294,105.2625
Kepulauan  Bangka Belitung,-2.1,106.1
Kepulauan  Riau,0.9188,104.4554
DKI Jakarta,-6.2146,106.8451
Jawa Barat,-6.95,107.5667
Jawa Tengah,-6.9667,110.4167
DI Yogyakarta,-7.8014,110.3644
Jawa Timur,-7.2458,112.7378
Banten,-6.12,106.1503
Bali,-8.6667,115.2167
Nusa Tenggara Barat,-8.5833,116.1167
Nusa Tenggara Timur,-10.1633,123.5778
Kalimantan Barat,-0.0206,109.3414
Kalimantan Tengah,-2.21,113.92
Kalimantan Selatan,-3.3333,114.5833
Kalimantan Timur,-0.5022,117.1536
Sulawesi Utara,1.4931,124.8413
Sulawesi Tengah,-0.895,119.8594
Sulawesi Selatan,-5.1331,119.4136
Sulawesi Tenggara,-3.9675,122.5947
Gorontalo,0.5411,123.0594
Sulawesi Barat,-3.5336,118.966
Maluku,-3.705,128.17
Maluku Utara,1.571,127.8088
Papua Barat,-0.861453,134.062042
Papua,-2.5333,140.7167
